A, 41.49777288, -81.6663361, 1
B, 41.50055453, -81.65693589, 2
C, 41.49959956, -81.65658886, 3
D, 41.51430421, -81.63856395, 4
E, 41.5005889, -81.66061046, 5
F, 41.50341882, -81.66247135, 6
G, 41.50416391, -81.64502629, 7
H, 41.50099005, -81.64260205, 8
I, 41.50967113, -81.65319512, 9
J, 41.51017386, -81.64486715, 10
K, 41.51267173, -81.63644913, 11
L, 41.50342693, -81.66191736, 12
M, 41.50155888, -81.65543938, 13
N, 41.50483362, -81.66479933, 14
O, 41.50002147, -81.66259936, 15
P, 41.50030963, -81.65260709, 16
Q, 41.51580143, -81.64978541, 17
R, 41.50695876, -81.64572879, 18
S, 41.50084568, -81.66826867, 19
T, 41.49796615, -81.64210326, 20
U, 41.50073274, -81.65631764, 21
V, 41.50624817, -81.6388919, 22
W, 41.50377454, -81.64570458, 23
X, 41.51291119, -81.6480273, 24
Y, 41.51114076, -81.66416474, 25
Z, 41.50066624, -81.66900949, 26
AA, 41.49772045, -81.64450519, 27
AB, 41.51098488, -81.65791047, 28
AC, 41.49874293, -81.64569992, 29
AD, 41.50030439, -81.66405418, 30
AE, 41.50622933, -81.66402401, 31
AF, 41.50585312, -81.64674242, 32
AG, 41.49957421, -81.65520126, 33
AH, 1.51905799, -81.65134411, 34
AI, 41.49625072, -81.64092958, 35
AJ, 41.5096145, -81.64289238, 36
AK, 41.50165729, -81.66884787, 37
AL, 41.49468359, -81.65580934, 38
AM, 41.5209309, -81.6538551, 39
AN, 41.5122839, -81.64123156, 40
AO, 41.51025784, -81.65346337, 41
AP, 41.49646024, -81.64387927, 42
AQ, 41.49987893, -81.63979943, 43
AR, 41.51718061, -81.6408341, 44
AS, 41.51643627, -81.64076775, 45
AT, 41.49415683, -81.648818, 46
AU, 41.51718756, -81.64805367, 47
AV, 41.50517669, -81.6634634, 48
AW, 41.51630765, -81.65407664, 49
AX, 41.50186154, -81.6412385, 50
AY, 41.52021865, -81.65193909, 51
AZ, 41.50320099, -81.66581632, 52
BA, 41.49452572, -81.65512704, 53
BB, 41.49541782, -81.65599474, 54
BC, 41.51465325, -81.66525977, 55
BD, 41.5059893, -81.66636158, 56
BE, 41.50417123, -81.64258607, 57
BF, 41.505979, -81.66237289, 58
BG, 41.51360775, -81.63829953, 59
BH, 41.49686596, -81.65093469, 60
BI, 41.50426847, -81.63916571, 61
BJ, 41.51939737, -81.65464068, 62
BK, 41.50323037, -81.66812522, 63
BL, 41.51037943, -81.6555987, 64
BM, 41.50520013, -81.64399207, 65
BN, 41.50429934, -81.6561852, 66
BO, 41.50357466, -81.6520041, 67
BP, 41.50176868, -81.65520982, 68
BQ, 41.51007997, -81.66090653, 69
BR, 41.51074152, -81.64609612, 70
BS, 41.49895646, -81.65466088, 71
BT, 41.5065339, -81.6645419, 72
BU, 41.49880647, -81.66232781, 73
BV, 41.49799087, -81.64116117, 74
BW, 41.4969838, -81.6589974, 75
BX, 41.50178726, -81.66264648, 76
BY, 41.50984133, -81.65769648, 77
BZ, 41.51046829, -81.64216434, 78
CA, 41.51110657, -81.65958825, 79
CB, 41.51581513, -81.65240247, 80
CC, 41.49649036, -81.65821019, 81
CD, 41.50102719, -81.66449589, 82
CE, 41.50063809, -81.65780967, 83
CF, 41.49856206, -81.64591118, 84
CG, 41.50654862, -81.65089999, 85
CH, 41.51504819, -81.66079645, 86
CI, 41.50260287, -81.64394893, 87
CJ, 41.50388308, -81.65235837, 88
CK, 41.51403943, -81.66790198, 89
CL, 41.49940383, -81.66200684, 90
CM, 41.51444618, -81.64778662, 91
CN, 41.50608961, -81.66270103, 92
CO, 41.4965779, -81.65109022, 93
CP, 41.50077697, -81.64449844, 94
CQ, 41.50548356, -81.64589699, 95
CR, 41.50958055, -81.63819127, 96
CS, 41.4978647, -81.64676322, 97
CT, 41.50528082, -81.64179591, 98
CU, 41.50071929, -81.65881559, 99
CV, 41.50403627, -81.65066446, 100
